Timestamp,Batch,Loss,Avg_Reward,Buffer_Size,Epsilon
08:11:20,1297,8.0220,7.7320,1328,0.8844
,CHECKPOINT BATCH 1300,10.6444,,,
,CHECKPOINT BATCH 1305,8.2762,,,
,CHECKPOINT BATCH 1310,13.0685,,,
08:11:22,1312,13.3223,7.6425,1343,0.8832
,CHECKPOINT BATCH 1315,6.7222,,,
,CHECKPOINT BATCH 1320,14.0649,,,
,CHECKPOINT BATCH 1325,12.4922,,,
08:11:24,1326,11.9866,6.8745,1357,0.8820
,CHECKPOINT BATCH 1330,8.5829,,,
,CHECKPOINT BATCH 1335,7.1607,,,
08:11:28,1336,7.5092,7.5865,1367,0.8812
,CHECKPOINT BATCH 1340,8.5477,,,
,CHECKPOINT BATCH 1345,9.9201,,,
,CHECKPOINT BATCH 1350,13.9676,,,
08:11:30,1352,6.6187,8.1965,1383,0.8799
,CHECKPOINT BATCH 1355,9.7233,,,
,CHECKPOINT BATCH 1360,13.9998,,,
,CHECKPOINT BATCH 1365,6.5814,,,
08:11:32,1368,8.5037,9.4035,1399,0.8785
,CHECKPOINT BATCH 1370,6.3575,,,
,CHECKPOINT BATCH 1375,8.6132,,,
,CHECKPOINT BATCH 1380,8.9385,,,
08:11:34,1384,5.1602,7.4115,1415,0.8772
,CHECKPOINT BATCH 1385,9.8604,,,
,CHECKPOINT BATCH 1390,8.9907,,,
,CHECKPOINT BATCH 1395,10.4920,,,
08:11:36,1400,9.8738,7.2730,1431,0.8759
,CHECKPOINT BATCH 1400,9.8738,,,
,CHECKPOINT BATCH 1405,11.8028,,,
,CHECKPOINT BATCH 1410,12.0084,,,
08:11:39,1412,9.7994,7.5610,1443,0.8749
,CHECKPOINT BATCH 1415,7.6775,,,
08:11:41,1418,11.5567,7.5770,1449,0.8744
,CHECKPOINT BATCH 1420,7.7076,,,
,CHECKPOINT BATCH 1425,14.5752,,,
08:11:43,1426,9.9817,6.5470,1457,0.8737
,CHECKPOINT BATCH 1430,12.9625,,,
,CHECKPOINT BATCH 1435,8.0839,,,
08:11:45,1436,8.1207,5.3730,1467,0.8729
,CHECKPOINT BATCH 1440,11.6780,,,
,CHECKPOINT BATCH 1445,14.9737,,,
,CHECKPOINT BATCH 1450,8.6691,,,
08:11:48,1455,9.7757,3.7575,1486,0.8714
,CHECKPOINT BATCH 1455,9.7757,,,
,CHECKPOINT BATCH 1460,8.6580,,,
,CHECKPOINT BATCH 1465,15.8157,,,
,CHECKPOINT BATCH 1470,10.3920,,,
,CHECKPOINT BATCH 1475,14.7005,,,
,CHECKPOINT BATCH 1480,11.1763,,,
08:11:50,1481,9.0509,2.5750,1512,0.8692
,CHECKPOINT BATCH 1485,9.6895,,,
,CHECKPOINT BATCH 1490,12.5359,,,
,CHECKPOINT BATCH 1495,10.5523,,,
08:11:52,1499,9.7620,1.9405,1530,0.8678
,CHECKPOINT BATCH 1500,12.2202,,,
,CHECKPOINT BATCH 1505,9.2118,,,
,CHECKPOINT BATCH 1510,11.4272,,,
,CHECKPOINT BATCH 1515,18.3615,,,
08:11:54,1516,15.0423,0.8225,1547,0.8664
,CHECKPOINT BATCH 1520,12.2494,,,
,CHECKPOINT BATCH 1525,10.2942,,,
,CHECKPOINT BATCH 1530,11.5129,,,
08:11:56,1533,10.9179,0.4465,1564,0.8650
,CHECKPOINT BATCH 1535,18.8343,,,
08:11:59,1536,11.4413,0.8920,1567,0.8647
,CHECKPOINT BATCH 1540,19.2675,,,
08:12:02,1542,11.2950,1.9390,1573,0.8642
,CHECKPOINT BATCH 1545,7.5061,,,
08:12:04,1548,12.9155,2.4060,1579,0.8638
,CHECKPOINT BATCH 1550,20.5319,,,
,CHECKPOINT BATCH 1555,12.1811,,,
08:12:07,1559,12.0895,2.8305,1590,0.8629
,CHECKPOINT BATCH 1560,11.2162,,,
,CHECKPOINT BATCH 1565,15.5621,,,
08:12:09,1568,22.7182,3.8745,1599,0.8621
,CHECKPOINT BATCH 1570,13.2146,,,
08:12:12,1572,15.7704,4.9305,1603,0.8618
,CHECKPOINT BATCH 1575,22.6133,,,
,CHECKPOINT BATCH 1580,15.2401,,,
,CHECKPOINT BATCH 1585,7.7516,,,
,CHECKPOINT BATCH 1590,14.8154,,,
08:12:15,1591,13.3080,6.5000,1622,0.8603
,CHECKPOINT BATCH 1595,15.3879,,,
,CHECKPOINT BATCH 1600,16.0082,,,
,CHECKPOINT BATCH 1605,8.9984,,,
08:12:17,1608,19.8850,7.1055,1639,0.8589
,CHECKPOINT BATCH 1610,18.4670,,,
,CHECKPOINT BATCH 1615,12.4160,,,
08:12:19,1620,10.9065,8.1650,1651,0.8579
,CHECKPOINT BATCH 1620,10.9065,,,
08:12:21,1625,11.5220,8.9290,1656,0.8575
,CHECKPOINT BATCH 1625,11.5220,,,
08:12:24,1630,17.3613,9.2415,1661,0.8571
,CHECKPOINT BATCH 1630,17.3613,,,
,CHECKPOINT BATCH 1635,13.1787,,,
,CHECKPOINT BATCH 1640,20.1004,,,
,CHECKPOINT BATCH 1645,12.4035,,,
08:12:26,1646,9.7274,7.5605,1677,0.8558
,CHECKPOINT BATCH 1650,14.4226,,,
08:12:29,1651,14.8000,7.3930,1682,0.8554
,CHECKPOINT BATCH 1655,14.2756,,,
,CHECKPOINT BATCH 1660,9.5247,,,
,CHECKPOINT BATCH 1665,21.4130,,,
08:12:32,1666,11.6567,6.4725,1697,0.8542
,CHECKPOINT BATCH 1670,13.6785,,,
,CHECKPOINT BATCH 1675,9.2693,,,
,CHECKPOINT BATCH 1680,17.0583,,,
08:12:34,1683,10.7883,3.4145,1714,0.8528
,CHECKPOINT BATCH 1685,13.4706,,,
,CHECKPOINT BATCH 1690,17.8309,,,
,CHECKPOINT BATCH 1695,11.9424,,,
08:12:36,1700,19.1979,2.6425,1731,0.8515
,CHECKPOINT BATCH 1700,19.1979,,,
,CHECKPOINT BATCH 1705,14.3954,,,
,CHECKPOINT BATCH 1710,12.8679,,,
08:12:40,1712,9.5338,2.9420,1743,0.8505
,CHECKPOINT BATCH 1715,13.3639,,,
,CHECKPOINT BATCH 1720,21.8046,,,
,CHECKPOINT BATCH 1725,18.8433,,,
08:12:42,1728,14.5943,3.0010,1759,0.8492
,CHECKPOINT BATCH 1730,15.2975,,,
,CHECKPOINT BATCH 1735,10.3083,,,
08:12:45,1740,12.1123,3.1720,1771,0.8483
,CHECKPOINT BATCH 1740,12.1123,,,
,CHECKPOINT BATCH 1745,14.0372,,,
,CHECKPOINT BATCH 1750,14.5156,,,
,CHECKPOINT BATCH 1755,24.6884,,,
08:12:47,1757,21.1750,2.8745,1788,0.8469
,CHECKPOINT BATCH 1760,10.6829,,,
,CHECKPOINT BATCH 1765,18.3131,,,
,CHECKPOINT BATCH 1770,10.5906,,,
08:12:49,1773,9.2032,3.0250,1804,0.8457
,CHECKPOINT BATCH 1775,14.1045,,,
,CHECKPOINT BATCH 1780,10.1790,,,
,CHECKPOINT BATCH 1785,10.2310,,,
08:12:53,1787,13.5111,3.6265,1818,0.8445
,CHECKPOINT BATCH 1790,12.6618,,,
,CHECKPOINT BATCH 1795,12.4755,,,
08:12:57,1796,12.3552,4.8385,1827,0.8438
,CHECKPOINT BATCH 1800,11.4719,,,
,CHECKPOINT BATCH 1805,13.4958,,,
08:12:59,1810,10.9847,5.2095,1841,0.8427
,CHECKPOINT BATCH 1810,10.9847,,,
,CHECKPOINT BATCH 1815,13.3201,,,
08:13:02,1820,16.3771,3.4085,1851,0.8419
,CHECKPOINT BATCH 1820,16.3771,,,
,CHECKPOINT BATCH 1825,15.8923,,,
08:13:04,1827,12.1286,3.2565,1858,0.8414
,CHECKPOINT BATCH 1830,14.5997,,,
,CHECKPOINT BATCH 1835,17.6896,,,
,CHECKPOINT BATCH 1840,8.8438,,,
08:13:06,1841,7.2525,3.4125,1872,0.8403
,CHECKPOINT BATCH 1845,12.8546,,,
08:13:08,1850,16.5084,3.4245,1881,0.8395
,CHECKPOINT BATCH 1850,16.5084,,,
,CHECKPOINT BATCH 1855,14.0649,,,
,CHECKPOINT BATCH 1860,8.4418,,,
,CHECKPOINT BATCH 1865,12.6693,,,
08:13:11,1868,13.6190,3.3100,1899,0.8381
,CHECKPOINT BATCH 1870,17.7112,,,
,CHECKPOINT BATCH 1875,12.7996,,,
,CHECKPOINT BATCH 1880,15.5768,,,
08:13:13,1881,9.7905,3.3365,1912,0.8371
,CHECKPOINT BATCH 1885,9.3042,,,
,CHECKPOINT BATCH 1890,15.0583,,,
08:13:15,1893,14.1169,1.7390,1924,0.8362
,CHECKPOINT BATCH 1895,13.6077,,,
,CHECKPOINT BATCH 1900,12.1926,,,
,CHECKPOINT BATCH 1905,14.3770,,,
,CHECKPOINT BATCH 1910,12.2759,,,
,CHECKPOINT BATCH 1915,12.1366,,,
08:13:17,1918,14.0415,1.5360,1949,0.8342
,CHECKPOINT BATCH 1920,18.2610,,,
,CHECKPOINT BATCH 1925,16.4825,,,
,CHECKPOINT BATCH 1930,13.1716,,,
08:13:19,1931,12.5783,1.1980,1962,0.8332
,CHECKPOINT BATCH 1935,20.1075,,,
,CHECKPOINT BATCH 1940,13.5330,,,
,CHECKPOINT BATCH 1945,12.3179,,,
08:13:21,1946,14.1849,1.6240,1977,0.8320
,CHECKPOINT BATCH 1950,12.4049,,,
08:13:25,1952,19.0681,1.7615,1983,0.8315
,CHECKPOINT BATCH 1955,12.8036,,,
08:13:28,1957,28.9503,2.3540,1988,0.8311
,CHECKPOINT BATCH 1960,10.9048,,,
08:13:30,1965,11.5174,3.0960,1996,0.8305
,CHECKPOINT BATCH 1965,11.5174,,,
,CHECKPOINT BATCH 1970,16.8721,,,
,CHECKPOINT BATCH 1975,12.9071,,,
,CHECKPOINT BATCH 1980,14.3546,,,
08:13:33,1982,32.8767,3.3605,2013,0.8292
,CHECKPOINT BATCH 1985,15.7722,,,
,CHECKPOINT BATCH 1990,24.8057,,,
08:13:36,1994,12.7063,3.4515,2025,0.8283
,CHECKPOINT BATCH 1995,21.4806,,,
,CHECKPOINT BATCH 2000,14.5904,,,
08:13:38,2004,15.8618,4.0800,2035,0.8275
,CHECKPOINT BATCH 2005,15.4463,,,
,CHECKPOINT BATCH 2010,30.2852,,,
,CHECKPOINT BATCH 2015,24.0805,,,
,CHECKPOINT BATCH 2020,28.3902,,,
