Timestamp,Steps,Avg_Reward_50,Epsilon,Done_Count
11:48:01,61964,16.8490,0.0519,0
11:48:06,62010,18.1550,0.0519,0
11:48:11,62035,7.3210,0.0519,0
11:48:16,62081,18.9980,0.0519,0
11:48:21,62105,9.1770,0.0519,0
11:48:26,62151,21.7500,0.0519,0
11:48:33,62194,17.6740,0.0519,0
11:48:38,62240,19.0110,0.0519,0
11:48:43,62286,15.4360,0.0519,0
11:48:48,62311,8.1740,0.0519,0
11:48:53,62357,22.6300,0.0519,0
11:48:58,62382,3.7040,0.0519,0
11:49:03,62428,22.3700,0.0518,0
11:49:08,62453,4.6150,0.0518,0
11:49:13,62478,11.6470,0.0518,0
11:49:19,62507,15.2720,0.0518,0
11:49:24,62553,21.7280,0.0518,0
11:49:29,62578,5.2190,0.0518,0
11:49:36,62616,16.7990,0.0518,0
11:49:41,62662,16.5030,0.0518,0
11:49:46,62687,11.3020,0.0518,0
11:49:51,62711,7.0650,0.0518,0
11:49:56,62757,18.3780,0.0518,0
11:50:03,62798,10.7850,0.0518,0
11:50:08,62844,20.8650,0.0518,0
11:50:13,62869,7.0920,0.0518,0
11:50:18,62915,18.7670,0.0518,0
11:50:24,62952,17.9550,0.0518,0
11:50:29,62998,15.9500,0.0517,0
11:50:35,63024,12.5480,0.0517,0
11:50:40,63049,9.1980,0.0517,0
11:50:45,63095,14.7250,0.0517,0
11:50:50,63141,16.0010,0.0517,0
11:50:56,63177,10.3290,0.0517,0
11:51:01,63223,22.9530,0.0517,0
11:51:06,63248,5.8980,0.0517,0
11:51:11,63294,20.7680,0.0517,0
11:51:18,63336,18.6320,0.0517,0
11:51:23,63382,22.0780,0.0517,0
11:51:29,63418,10.8010,0.0517,0
11:51:34,63464,22.0500,0.0517,0
11:51:40,63489,5.2970,0.0517,0
11:51:45,63535,18.5560,0.0517,0
11:51:50,63560,4.9010,0.0516,0
11:51:55,63606,19.3240,0.0516,0
11:52:00,63652,15.1140,0.0516,0
11:52:05,63677,7.3130,0.0516,0
11:52:10,63723,21.2820,0.0516,0
11:52:15,63769,12.9640,0.0516,0
11:52:20,63794,10.0370,0.0516,0
11:52:25,63840,20.2520,0.0516,0
11:52:30,63868,13.3940,0.0516,0
11:52:35,63914,18.9670,0.0516,0
11:52:41,63939,8.8680,0.0516,0
11:52:48,63983,16.2460,0.0516,0
11:52:53,64029,19.9780,0.0516,0
11:52:58,64075,12.3720,0.0516,0
11:53:03,64103,8.7850,0.0516,0
11:53:08,64149,19.6460,0.0516,0
11:53:13,64195,8.2680,0.0515,0
11:53:20,64236,7.4950,0.0515,0
11:53:25,64282,17.6270,0.0515,0
11:53:30,64328,2.5200,0.0515,0
11:53:35,64374,2.4880,0.0515,0
11:53:40,64420,12.7610,0.0515,0
11:53:45,64445,10.3790,0.0515,0
11:53:50,64491,19.8160,0.0515,0
11:53:56,64517,11.8350,0.0515,0
11:54:01,64563,20.7810,0.0515,0
11:54:06,64609,11.8450,0.0515,0
11:54:11,64634,10.9740,0.0515,0
11:54:17,64665,14.4180,0.0515,0
11:54:22,64711,20.8650,0.0515,0
11:54:28,64750,20.1260,0.0515,0
11:54:33,64796,20.2080,0.0515,0
11:54:41,64841,20.2480,0.0515,0
11:54:46,64887,19.1820,0.0514,0
11:54:51,64933,14.4940,0.0514,0
11:54:56,64957,11.7470,0.0514,0
11:55:01,64982,11.6080,0.0514,0
11:55:06,65028,20.2060,0.0514,0
11:55:11,65074,14.2210,0.0514,0
11:55:16,65099,11.1450,0.0514,0
11:55:21,65123,8.3220,0.0514,0
11:55:26,65169,16.7960,0.0514,0
11:55:31,65215,15.0460,0.0514,0
11:55:36,65240,12.7420,0.0514,0
11:55:41,65286,17.3840,0.0514,0
11:55:46,65332,13.7130,0.0514,0
11:55:51,65357,5.6930,0.0514,0
11:55:56,65403,18.3630,0.0514,0
11:56:01,65449,17.4120,0.0514,0
11:56:06,65474,6.6150,0.0514,0
11:56:11,65520,21.5150,0.0514,0
11:56:18,65561,12.5970,0.0514,0
11:56:23,65607,22.3920,0.0513,0
11:56:30,65648,16.4630,0.0513,0
11:56:35,65694,16.8130,0.0513,0
11:56:40,65740,15.0600,0.0513,0
11:56:45,65765,8.2040,0.0513,0
11:56:50,65811,19.2520,0.0513,0
11:56:55,65836,5.2500,0.0513,0
11:57:00,65861,9.1450,0.0513,0
11:57:06,65886,8.8250,0.0513,0
11:57:11,65917,9.4720,0.0513,0
11:57:16,65963,14.3420,0.0513,0
11:57:21,66009,10.0640,0.0513,0
11:57:26,66055,7.1770,0.0513,0
11:57:31,66080,8.2550,0.0513,0
11:57:37,66126,17.3500,0.0513,0
11:57:42,66172,15.0160,0.0513,0
11:57:47,66197,10.0490,0.0513,0
